Massages,Classes
Здравствуйте я бы хотела спросить куда я могу отправить жалобу,7
Казакстан бойынша казак тили жане адебиети филология факультетерине тусу ушин примерно канша балл керек,1
Можете сказать переходит ли SDU на комбинированное обучение ,7
мен платниға түсиін деп едім ұбт дан 2 алмай но шетік балға жете алмай қалдым түсе аламба,1
Сәлеметсіз бе  Құжатты қандай мекенжайға барып тапсыру қажет Соны толық жазып жіберсеңіз  ,2
Как можно найти своего куратора и вообще своих одногруппников,7
Сіздерде қандай сала яғни мамандықтар бар,3
файрволл вайфая блокирует ваш собственный сайт не подскажете кто администратор сайта сду,9
сколько будет стоить обучение на факультете международных отношений,3
У вас на переводчика проходной балл на грант сколько,1
У вас надо при поступлении абитуриенту бакалавр 086 форма,2
А у вас в начале года разыгрываются гранты,8
Маган почтама Талдықорған қаласында деп тестылеу орталыгы келди ягни ол Жансүгіров университеті ма алде баска университет па,2
Конкурска тусу ушын канша балл жинау керек ,8
Сколько стоит международное отношения,3
Сыздерге тусу ушын жылдын ортасында тест тапсырамын ба,2
Қанша бал болуы қажет Сіздерде грант,1
Фамилиям орысша отчество казакша жазылып тур бирак инн жазылып турган сон кате болып есептелмейтин шыгар,2
А как вы там будете давать места например у всех же разные кластеры вы будете смотреть на баллы или на кластеры,8
Здравстуйте мне не приходит код в почту для регистрации,9
Здравствуйте я хотел спросить на счет олимпиад когда у вас будут внутренние олимпиады,8
Извините если у меня международное отношение какой кластер выбираю,3
Здравствуйте   у вас есть скидки на обучение при поступлении  ,1
Скажите пожалуйста какое минимальное количество баллов нужно набрать чтобы поступить в ваш Вуз на специальность два иностранных языка без каких либо привилегий,1
Здраствуйте тут что учят бесплатно то есть грант да,1
Олимпиада кашан болатынын айта аласыз ба,8
"Можно узнать сколько стоит общежитие
",1
Қанша грант бөлінді Шектік балы қанша шамамен Туризм барма,1
Я потеряла ID card,7
Сіздердің универлеріңізге түсу үшін ағылшын тілі қандай деңгейде болу керек,1
Хотела узнать можно ли написать СДУ и КБТУ на сферу IT при подаче заявки на грант,1
Когда бухгалтерия выплатит страховую сумму за общежитие,7
Я хочу участвовать в SPT Если сейчас буду зарегистрироваться то в марте могу участвовать,4
  салеметсиз бе  халықаралық қатынастар факультетіне қанша грант бөлінді  айтып жібересіз бе,1
А еще обучение только на английском идет,1
Қанша бал жинағанымд блейн деп едм,1
Оригинал документтерди калай тапсрамыз,1
У вас есть прайс лист,3
если англ не дотягивает курсы бесплатные будут,1
Егерде универге оқуға түскен жағдайда тіл жағынан мысалы сабақтар қай тлде өтеді істен тлдерге арнайы курстар барма,1
Салеметсіздермее СДУ мен spt олимпиадасының алдыңғы жылы келген сұрақтарын көріп дайындала аламынба ,4
Когда появятся результаты SPT которую мы сдавали на SDU Open Day,4
Факультет менеджер бар ма,3
Грант Иегерлери кандай документ тапсыру керек тизими бар ма,2
Сызде алтын белгы иегерлерыне женылдык карастырылганба,1
Сколько нужно набрать баллов для того чтобы поступать на грант иностранный всем история,1
Резултаты қашан шығады,4
А сколько грантов выделено на физмат,1
Кайда калай толейди Студенческий взнос толеу керекпе,1
SDU да тарихшы мамандыгы окытылама тандау пани география жане дуние жузы тарихы,3
Канша балдан түсе аламыз кешегі олимпиададан,4
С какого месяца нужно регистрироваться в SPT,4
Платно окуга документ нешесыне жиналады ,3
